code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
512760,2025-03-25,2025-03-26,0.586,0.585,-0.0027056313993174073,20,到期,1.0,1,range
512760,2025-07-24,2025-07-25,0.587,0.587,-0.001,20,到期,1.0,1,trend
512760,2025-08-27,2025-08-28,0.733,0.733,-0.001,20,到期,1.0,1,trend
512760,2025-09-26,2025-09-29,0.852,0.851,-0.0021731220657277006,20,到期,1.0,1,trend
512760,2025-11-04,2025-11-05,0.802,0.786,-0.02094014962593518,20,到期,1.0,1,trend
512760,2026-01-26,2026-01-27,0.936,0.932,-0.0052713675213675254,20,到期,1.0,1,trend
512760,2026-03-04,2026-03-05,0.854,0.873,0.02123711943793913,20,到期,1.0,1,range
512760,2026-05-19,2026-05-20,1.149,1.14,-0.008828981723237702,20,到期,1.0,1,trend
512760,2026-05-21,2026-06-01,1.225,1.14,-0.07035306122448995,8,期末平仓,1.0,1,trend
512800,2024-02-20,2024-02-21,0.575,0.574,-0.0027382608695652186,20,到期,1.0,1,trend
512800,2024-03-22,2024-03-25,0.575,0.574,-0.0027382608695652186,20,到期,1.0,1,trend
512800,2024-04-25,2024-04-26,0.609,0.606,-0.0059236453201970485,20,到期,1.0,1,trend
512800,2024-05-30,2024-05-31,0.625,0.626,0.0005992000000000013,20,到期,1.0,1,trend
512800,2024-07-25,2024-07-26,0.642,0.641,-0.002556853582554518,20,到期,1.0,1,trend
512800,2024-09-12,2024-09-13,0.599,0.598,-0.002668614357262105,20,到期,1.0,1,range
512800,2024-10-29,2024-10-30,0.699,0.698,-0.0024298998569384847,20,到期,1.0,1,trend
512800,2024-12-03,2024-12-04,0.705,0.703,-0.0038354609929078043,20,到期,1.0,1,trend
512800,2025-01-02,2025-01-03,0.726,0.726,-0.001,20,到期,1.0,1,trend
512800,2025-02-12,2025-02-13,0.75,0.749,-0.002332666666666668,20,到期,1.0,1,trend
512800,2025-03-13,2025-03-14,0.751,0.751,-0.0009999999999999998,20,到期,1.0,1,trend
512800,2025-04-15,2025-04-16,0.759,0.759,-0.0009999999999999998,20,到期,1.0,1,trend
512800,2025-05-19,2025-05-20,0.798,0.8,0.001505012531328323,20,到期,1.0,1,trend
512800,2025-06-19,2025-06-20,0.841,0.84,-0.0021884661117717013,20,到期,1.0,1,trend
512800,2025-07-25,2025-07-28,0.858,0.856,-0.003329836829836832,20,到期,1.0,1,trend
512800,2025-09-04,2025-09-05,0.838,0.834,-0.005770883054892606,20,到期,1.0,1,range
512800,2025-11-20,2025-11-21,0.849,0.848,-0.0021772673733804486,20,到期,1.0,1,trend
512800,2025-12-23,2025-12-24,0.82,0.821,0.00021890243902439126,20,到期,1.0,1,range
512800,2026-04-14,2026-04-15,0.794,0.794,-0.001,20,到期,1.0,1,trend
512800,2026-05-18,2026-05-19,0.771,0.771,-0.001,20,到期,1.0,1,range
512880,2021-10-15,2021-10-18,1.129,1.13,-0.00011470327723658988,20,到期,1.0,1,range
512880,2022-01-10,2022-01-11,1.138,1.138,-0.001,20,到期,1.0,1,range
512880,2022-07-11,2022-07-12,0.924,0.927,0.002245129870129873,20,到期,1.0,1,trend
512880,2022-09-08,2022-09-09,0.922,0.923,8.405639913232213e-05,20,到期,1.0,1,range
512880,2022-09-29,2022-09-30,0.82,0.819,-0.0022189024390243915,13,止损,1.0,1,range
512880,2022-12-14,2022-12-15,0.903,0.9,-0.004320598006644521,20,到期,1.0,1,trend
512880,2023-02-09,2023-02-10,0.944,0.941,-0.0041763771186440705,20,到期,1.0,1,trend
512880,2023-03-21,2023-03-22,0.903,0.904,0.00010686600221484046,20,到期,1.0,1,range
512880,2023-05-09,2023-05-10,0.983,0.973,-0.011167853509664302,20,到期,1.0,1,trend
512880,2023-06-07,2023-06-08,0.883,0.883,-0.001,20,到期,1.0,1,range
512880,2023-08-24,2023-08-25,0.992,0.988,-0.005030241935483874,20,到期,1.0,1,trend
512880,2023-10-30,2023-10-31,0.943,0.941,-0.003119830328738072,20,到期,1.0,1,range
512880,2023-12-06,2023-12-07,0.927,0.925,-0.003156418554476809,20,到期,1.0,1,range
512880,2024-03-21,2024-03-22,0.906,0.904,-0.003206401766004417,20,到期,1.0,1,trend
512880,2024-05-31,2024-06-03,0.839,0.836,-0.004573897497020266,20,到期,1.0,1,range
512880,2024-08-30,2024-09-02,0.814,0.809,-0.0071394348894347585,20,到期,1.0,1,trend
512880,2024-10-14,2024-10-15,1.124,1.103,-0.01967393238434175,20,到期,1.0,1,trend
512880,2024-11-13,2024-11-14,1.286,1.282,-0.004108864696734061,20,到期,1.0,1,trend
512880,2024-12-19,2024-12-20,1.198,1.195,-0.003502921535893065,20,到期,1.0,1,trend
512880,2025-01-03,2025-01-06,1.076,1.069,-0.007502323420074458,3,止损,1.0,1,range
512880,2025-04-07,2025-04-08,0.979,0.985,0.005125638406537288,15,止损,1.0,1,range
512880,2025-07-03,2025-07-04,1.131,1.13,-0.0018837312113175173,20,到期,1.0,1,trend
512880,2025-08-01,2025-08-04,1.191,1.186,-0.0051960537363561,20,到期,1.0,1,trend
512880,2025-09-02,2025-09-03,1.296,1.303,0.004398533950617203,20,到期,1.0,1,trend
512880,2025-11-04,2025-11-05,1.243,1.236,-0.006628720836685532,20,到期,1.0,1,range
512880,2026-01-27,2026-01-28,1.197,1.199,0.0006700083542188822,20,到期,1.0,1,range
512980,2021-10-18,2021-10-19,0.692,0.691,-0.0024443641618497125,20,到期,1.0,1,range
512980,2021-11-29,2021-11-30,0.743,0.743,-0.001,20,到期,1.0,1,trend
512980,2022-01-07,2022-01-10,0.864,0.858,-0.007940972222222228,20,到期,1.0,1,trend
512980,2022-01-25,2022-01-26,0.754,0.754,-0.0009999999999999998,11,止损,1.0,1,range
512980,2022-07-05,2022-07-06,0.623,0.621,-0.004208667736757627,20,到期,1.0,1,trend
512980,2022-08-18,2022-08-19,0.603,0.602,-0.002657545605306801,20,到期,1.0,1,range
512980,2022-09-20,2022-09-21,0.556,0.554,-0.004595323741007197,20,到期,1.0,1,range
512980,2022-12-08,2022-12-09,0.609,0.608,-0.0026412151067323492,20,到期,1.0,1,trend
512980,2023-01-12,2023-01-13,0.624,0.624,-0.001,20,到期,1.0,1,trend
512980,2023-02-20,2023-02-21,0.704,0.701,-0.005259232954545458,20,到期,1.0,1,trend
512980,2023-03-29,2023-03-30,0.806,0.801,-0.00720037220843673,20,到期,1.0,1,trend
512980,2023-04-28,2023-05-04,0.961,0.975,0.013560874089490128,20,到期,1.0,1,trend
512980,2023-05-23,2023-05-24,0.843,0.838,-0.006928232502965604,12,止损,1.0,1,trend
512980,2023-06-30,2023-07-03,0.894,0.895,0.00011800894854586247,20,到期,1.0,1,range
512980,2023-12-04,2023-12-05,0.792,0.788,-0.006047979797979802,20,到期,1.0,1,trend
512980,2023-12-27,2023-12-28,0.691,0.685,-0.0096787264833573,15,止损,1.0,1,range
