date,close,v7_vwap_dist,future_return_5d
2025-01-13,0.971,-0.033383822255496645,0.040164778578784865
2025-01-14,1.01,0.005358954392029614,0.013861386138613874
2025-01-15,1.009,0.0031422262292089566,0.01288404360753237
2025-01-16,0.988,-0.018512042827074107,0.020242914979757165
2025-01-17,1.011,0.004596383890871348,0.006923837784372111
2025-01-20,1.01,0.0069210448886193755,-0.01980198019801982
2025-01-21,1.024,0.0216916662745902,-0.006835937500000111
2025-01-22,1.022,0.02127914136479709,0.03718199608610573
2025-01-23,1.008,0.008266470735046045,0.0535714285714286
2025-01-24,1.018,0.02097523265623933,0.05500982318271119
2025-01-27,0.99,-0.0038360675222738234,0.07171717171717162
2025-02-05,1.017,0.024344713744849644,0.07866273352999031
2025-02-06,1.06,0.06615566060174512,0.002830188679245227
2025-02-07,1.062,0.06183862167501808,0.0
2025-02-10,1.074,0.06770896960268276,0.0018621973929235924
2025-02-11,1.061,0.04992793452917624,-0.006597549481621057
2025-02-12,1.097,0.0777639925968011,0.003646308113035568
2025-02-13,1.063,0.038689720913240924,0.031044214487300215
2025-02-14,1.062,0.03451430430419509,0.08474576271186418
2025-02-17,1.076,0.043607319061639005,0.07434944237918195
2025-02-18,1.054,0.018947347928160732,0.09203036053130931
2025-02-19,1.101,0.057744473426238896,0.06357856494096281
2025-02-20,1.096,0.04949655980887032,0.062043795620437825
2025-02-21,1.152,0.09329487909987118,-0.03906249999999989
2025-02-24,1.156,0.0889378050535811,-0.054498269896193774
2025-02-25,1.151,0.07776716040453473,-0.024326672458731546
2025-02-26,1.171,0.0888683633339279,-0.03672075149444931
2025-02-27,1.164,0.07626249528970644,-0.005154639175257714
2025-02-28,1.107,0.018370317948440684,0.031616982836494945
2025-03-03,1.093,0.002891495078028867,0.043915827996340306
2025-03-04,1.123,0.02603369776600126,0.008014247551201947
2025-03-05,1.128,0.025777223258806926,0.0
2025-03-06,1.158,0.046983023475586846,-0.05440414507772018
2025-03-07,1.142,0.02846345424337482,-0.02189141856392285
2025-03-10,1.141,0.025009982587476505,-0.0262927256792288
2025-03-11,1.132,0.014772102021874865,-0.011484098939929188
2025-03-12,1.128,0.008717767718730854,-0.020390070921985748
2025-03-13,1.095,-0.022228883480816218,-0.0009132420091323423
2025-03-14,1.117,-0.0045264425016366145,-0.047448522829006246
2025-03-17,1.111,-0.011810448171723468,-0.03510351035103498
2025-03-18,1.119,-0.007152578896100753,-0.05987488829311882
2025-03-19,1.105,-0.022352332228283287,-0.047963800904977316
2025-03-20,1.094,-0.032693544239503346,-0.027422303473491838
2025-03-21,1.064,-0.056298452578472824,-0.015037593984962405
2025-03-24,1.072,-0.04575484450709039,-0.021455223880597174
2025-03-25,1.052,-0.059883434773367245,-0.0019011406844106071
2025-03-26,1.052,-0.05594547980408609,-0.004752851711026684
2025-03-27,1.064,-0.040369007713163395,-0.021616541353383534
2025-03-28,1.048,-0.05186821530520385,-0.0992366412213741
2025-03-31,1.049,-0.04913656225897814,-0.09818875119161108
2025-04-01,1.05,-0.04613649574342903,-0.05428571428571438
2025-04-02,1.047,-0.046156248631362216,-0.04011461318051579
2025-04-03,1.041,-0.0453690867791993,0.01344860710854956
2025-04-07,0.944,-0.12281309881589196,0.11758474576271194
2025-04-08,0.946,-0.11191202458313909,0.10147991543340384
2025-04-09,0.993,-0.05669130908492119,0.056394763343403875
2025-04-10,1.005,-0.0393051172173927,0.04975124378109452
2025-04-11,1.055,0.01264090006655569,-0.010426540284360075
2025-04-14,1.055,0.015650911455214588,0.0
2025-04-15,1.042,0.004979507109876162,0.01055662188099804
2025-04-16,1.049,0.014565236602138912,0.0038131553860820677
2025-04-17,1.055,0.022178419389654463,-0.01516587677725123
2025-04-18,1.044,0.013497735295127024,-0.007662835249042099
2025-04-21,1.055,0.025972947457266863,-0.017061611374407648
2025-04-22,1.053,0.0248685096494122,-0.005698005698005715
2025-04-23,1.053,0.02521415610473595,0.00664767331434013
2025-04-24,1.039,0.011840684386997879,0.037536092396535325
2025-04-25,1.036,0.010410220107429504,0.03474903474903468
2025-04-28,1.037,0.012206917038319828,0.029893924783028103
2025-04-29,1.047,0.02229407653467872,-0.00382043935052534
2025-04-30,1.06,0.03480963481458226,-0.009433962264150941
2025-05-06,1.078,0.05126329110440617,-0.032467532467532645
2025-05-07,1.072,0.04422651626431974,-0.02332089552238814
2025-05-08,1.068,0.033422626241369685,-0.04026217228464435
2025-05-09,1.043,0.0031756775779605215,-0.019175455417066223
2025-05-12,1.05,0.0021177704634369053,-0.020952380952380945
2025-05-13,1.043,-0.0073175905343602745,-0.010546500479386323
2025-05-14,1.047,-0.004025087460852118,-0.02387774594078307
2025-05-15,1.025,-0.023470066286598153,-0.007804878048780495
2025-05-16,1.023,-0.02489677631665504,-0.0185728250244378
2025-05-19,1.028,-0.01940376514851578,-0.014591439688716124
2025-05-20,1.032,-0.014592260859290319,-0.0339147286821706
2025-05-21,1.022,-0.023327744736593166,-0.03131115459882583
2025-05-22,1.017,-0.026777346813944048,-0.005899705014749235
2025-05-23,1.004,-0.036864356063920356,-0.007968127490039834
2025-05-26,1.013,-0.026402763072950346,-0.008884501480750151
2025-05-27,0.997,-0.03986107609214984,0.011033099297893756
2025-05-28,0.99,-0.04505679304596436,0.03737373737373728
2025-05-29,1.011,-0.023039012706807745,0.015825914935707175
2025-05-30,0.996,-0.035739836910160354,0.033132530120481896
2025-06-03,1.004,-0.02556421532254906,0.0029880478087649376
2025-06-04,1.008,-0.01886338960018607,-0.001984126984126977
2025-06-05,1.027,0.0028335509843270645,-0.02921129503407971
2025-06-06,1.027,0.004407351456497511,-0.033106134371957086
2025-06-09,1.029,0.007916749611932604,-0.03206997084548102
2025-06-10,1.007,-0.011603780309071863,-0.015888778550148808
2025-06-11,1.006,-0.010748947200308005,-0.006958250497017926
2025-06-12,0.997,-0.016772277958369892,0.0020060180541625616
2025-06-13,0.993,-0.01843834742704573,-0.001007049345417954
2025-06-16,0.996,-0.014454780993224756,0.007028112449799062
2025-06-17,0.991,-0.0180746611928175,0.029263370332996974
2025-06-18,0.999,-0.008685021407965295,0.04304304304304307
2025-06-19,0.999,-0.007688312095671825,0.029029029029029152
2025-06-20,0.992,-0.013487463044559991,0.04133064516129026
2025-06-23,1.003,-0.001921636752815151,0.04586241276171488
2025-06-24,1.02,0.014469075670253422,0.0235294117647058
2025-06-25,1.042,0.033534320594113515,-0.018234165067178676
2025-06-26,1.028,0.017118161350826347,-0.0038910505836575737
2025-06-27,1.033,0.02011778171332723,-0.010648596321393922
2025-06-30,1.049,0.033213603299317294,-0.028598665395614953
2025-07-01,1.044,0.026290194779029892,-0.012452107279693592
2025-07-02,1.023,0.004713523290644738,-0.003910068426197455
2025-07-03,1.024,0.005625854780377291,-0.0078125
2025-07-04,1.022,0.0035541742516545334,0.008806262230919737
2025-07-07,1.019,0.000826983808264419,0.0058881256133465065
2025-07-08,1.031,0.01187533330298928,-0.008729388942773864
2025-07-09,1.019,-0.0004233652008677299,0.0058881256133465065
2025-07-10,1.016,-0.004102623346512279,0.015748031496062964
2025-07-11,1.031,0.009156057358106422,0.0029097963142581396
2025-07-14,1.025,0.0023937206853361895,0.009756097560975618
2025-07-15,1.022,-0.0013387328405982688,0.014677103718199414
2025-07-16,1.025,0.000199555115242057,0.018536585365853675
2025-07-17,1.032,0.005926942602842837,0.027131782945736482
2025-07-18,1.034,0.0063783897432746085,0.046421663442940186
2025-07-21,1.035,0.0058133667136561215,0.04444444444444451
2025-07-22,1.037,0.006504908416830786,0.057859209257473454
2025-07-23,1.044,0.012391758733512873,0.04118773946360155
2025-07-24,1.06,0.02642742599174649,0.013207547169811429
2025-07-25,1.082,0.04447257078138086,-0.015711645101663674
2025-07-28,1.081,0.04166920927369982,-0.0018501387604070718
2025-07-29,1.097,0.054301152147790424,-0.014585232452142272
2025-07-30,1.087,0.04135731563394879,0.0036798528058876734
2025-07-31,1.074,0.02601097086410893,0.021415270018621868
2025-08-01,1.065,0.015400102812745791,0.010328638497652642
2025-08-04,1.079,0.027393154814457883,0.004633920296571059
2025-08-05,1.081,0.02772920752098719,0.029602220166512483
2025-08-06,1.091,0.03514438490705768,0.030247479376718678
2025-08-07,1.097,0.036612509095116805,0.030993618960802216
2025-08-08,1.076,0.01416249612228578,0.07249070631970245
2025-08-11,1.084,0.020021710511014788,0.088560885608856
2025-08-12,1.113,0.04278009950860052,0.044923629829290324
2025-08-13,1.124,0.04910009809493465,0.07473309608540912
2025-08-14,1.131,0.048735984752187406,0.06189213085764811
2025-08-15,1.154,0.06477115126910468,0.13604852686308488
2025-08-18,1.18,0.08241999482629862,0.12711864406779672
2025-08-19,1.163,0.06101082540869973,0.1306964746345658
2025-08-20,1.208,0.09183871334308848,0.0935430463576159
2025-08-21,1.201,0.0767879134506736,0.17901748542880913
2025-08-22,1.311,0.1558480454119605,0.05263157894736836
2025-08-25,1.33,0.15420477745558905,0.05488721804511276
2025-08-26,1.315,0.12947640017309464,0.03041825095057038
2025-08-27,1.321,0.11885686031376852,0.00832702498107496
2025-08-28,1.416,0.1765344905817602,-0.12853107344632764
2025-08-29,1.38,0.13385309668929424,-0.07463768115942027
2025-09-01,1.403,0.1406409591862026,-0.08980755523877415
2025-09-02,1.355,0.09190657013931577,-0.0797047970479704
2025-09-03,1.332,0.06648179248064892,-0.05105105105105112
