date,close,v8_cmf,future_return_5d
2023-01-17,0.959,0.20538104062382878,-0.0031282586027111536
2023-01-18,0.955,0.19042992465016478,0.027225130890052407
2023-01-19,0.975,0.24204294321593228,-0.014358974358974375
2023-01-20,0.969,0.26015376257110007,-0.016511867905056765
2023-01-30,0.961,0.16691042877388554,-0.02705515088449517
2023-01-31,0.956,0.1443765616898276,-0.01882845188284521
2023-02-01,0.981,0.17524343643639964,-0.05300713557594283
2023-02-02,0.961,0.10636994107390177,-0.01768990634755463
2023-02-03,0.953,0.09915100698273459,-0.017838405036726068
2023-02-06,0.935,0.06828231255401568,0.007486631016042633
2023-02-07,0.938,0.02257932835361493,0.002132196162046851
2023-02-08,0.929,-0.002269949914316837,0.0021528525296017342
2023-02-09,0.944,0.013374498860549242,-0.01906779661016944
2023-02-10,0.936,0.00704647567526909,-0.028846153846153855
2023-02-13,0.942,0.035854904162296995,0.00424628450106157
2023-02-14,0.94,0.07273179695029743,0.008510638297872353
2023-02-15,0.931,0.07455023386540065,0.00859291084854985
2023-02-16,0.926,0.007143926953206456,0.022678185745140356
2023-02-17,0.909,-0.08306050970331062,0.024202420242024125
2023-02-20,0.946,-0.028967052997842673,-0.0285412262156447
2023-02-21,0.948,-0.06772166087604352,-0.02215189873417711
2023-02-22,0.939,-0.06301553869089974,0.0010649627263046302
2023-02-23,0.947,-0.11181511143754998,-0.010559662090812938
2023-02-24,0.931,-0.14472416824065326,0.01396348012889348
2023-02-27,0.919,-0.09510867096598279,0.01196953210010876
2023-02-28,0.927,-0.056644056619790335,-0.014023732470334394
2023-03-01,0.94,-0.08294152736911481,-0.02872340425531905
2023-03-02,0.937,-0.011378401949607386,-0.03094983991462119
2023-03-03,0.944,0.0038632833181947808,-0.05084745762711862
2023-03-06,0.93,0.0027474866534338877,-0.032258064516129115
2023-03-07,0.914,-0.05857549317503599,-0.02516411378555805
2023-03-08,0.913,0.007869582390219121,-0.018619934282584905
2023-03-09,0.908,-0.05810809256704537,-0.01982378854625555
2023-03-10,0.896,-0.08340074710247375,0.010044642857142794
2023-03-13,0.9,-0.11221481407531313,-0.005555555555555536
2023-03-14,0.891,-0.1157177101803653,0.013468013468013407
2023-03-15,0.896,-0.11326181067289573,0.0022321428571427937
2023-03-16,0.89,-0.09352340457030744,0.021348314606741692
2023-03-17,0.905,-0.04497067090378043,0.006629834254143763
2023-03-20,0.895,-0.19108612841932726,0.02346368715083802
2023-03-21,0.903,-0.2093822551707683,0.0033222591362125353
2023-03-22,0.898,-0.19197106090774688,0.0033407572383072903
2023-03-23,0.909,-0.12844086628400808,-0.0033003300330033403
2023-03-24,0.911,-0.08952917650215779,-0.00658616904500553
2023-03-27,0.916,-0.035496614310915345,0.028384279475982543
2023-03-28,0.906,-0.10082803318127931,0.04415011037527594
2023-03-29,0.901,-0.1658399935961574,0.042175360710321685
2023-03-30,0.906,-0.10359704964676132,0.04746136865342154
2023-03-31,0.905,-0.14306683209933665,0.037569060773480656
2023-04-03,0.942,0.05181828361305355,0.007430997876857859
2023-04-04,0.946,0.11881261240066998,0.00634249471458781
2023-04-06,0.939,0.07248653292626696,0.0010649627263046302
2023-04-07,0.949,0.12323878094904012,-0.008429926238145424
2023-04-10,0.939,0.08926190729109881,0.029818956336528313
2023-04-11,0.949,0.036687521931514436,0.013698630136986356
2023-04-12,0.952,0.03422305333212367,-0.005252100840336116
2023-04-13,0.94,0.034780177667694465,0.011702127659574568
2023-04-14,0.941,0.062240013268423974,-0.026567481402762883
2023-04-17,0.967,0.14139049786315055,-0.06928645294725955
2023-04-18,0.962,0.14442783516233695,-0.06029106029106024
2023-04-19,0.947,0.08676513320736119,-0.04751847940865883
2023-04-20,0.951,0.14035605530026599,-0.045215562565720235
2023-04-21,0.916,0.039956065815484415,0.013100436681222627
2023-04-24,0.9,0.012775365598295434,0.043333333333333224
2023-04-25,0.904,0.0033142560677164403,0.05420353982300874
2023-04-26,0.902,0.03522350311557828,0.07760532150776056
2023-04-27,0.908,0.07246673804425918,0.08259911894273131
2023-04-28,0.928,0.07286761185222014,0.02909482758620685
2023-05-04,0.939,0.11045856777480088,0.015974440894568787
2023-05-05,0.953,0.001982448726674097,-0.012591815320041944
2023-05-08,0.972,0.02726337211388702,-0.017489711934156382
2023-05-09,0.983,-0.038376282660413895,-0.03763987792472023
2023-05-10,0.955,-0.10171672221564938,-0.011518324607329822
2023-05-11,0.954,-0.07563977952227169,-0.013626834381551323
2023-05-12,0.941,-0.07550655125076308,-0.013815090329436619
2023-05-15,0.955,-0.030733370217385907,-0.030366492146596813
2023-05-16,0.946,-0.04029878398167454,-0.03488372093023251
2023-05-17,0.944,-0.06236027692558234,-0.04766949152542366
2023-05-18,0.941,-0.15093416327822937,-0.04250797024442077
2023-05-19,0.928,-0.15308456905016482,-0.026939655172413812
2023-05-22,0.926,-0.1232743631356493,-0.03455723542116629
2023-05-23,0.913,-0.19842818743743668,-0.017524644030668113
2023-05-24,0.899,-0.1941444327676237,-0.008898776418242549
2023-05-25,0.901,-0.11744618417646897,-0.008879023307436174
2023-05-26,0.903,-0.10531111050490592,-0.0044296788482834915
2023-05-29,0.894,-0.14431877878619417,0.0
2023-05-30,0.897,-0.13590293778778778,-0.01672240802675584
2023-05-31,0.891,-0.17983175516345873,-0.008978675645342271
2023-06-01,0.893,-0.22935551709874286,0.0011198208286673506
2023-06-02,0.899,-0.19725012192897404,-0.007786429365962189
2023-06-05,0.894,-0.2614105258741239,-0.01230425055928408
2023-06-06,0.882,-0.24296327164732212,0.006802721088435382
2023-06-07,0.883,-0.2172145106626005,0.006795016987542368
2023-06-08,0.894,-0.13874675281460885,0.008948545861297452
2023-06-09,0.892,-0.08872985978823911,0.015695067264573925
2023-06-12,0.883,-0.17434922218587925,0.016987542468856143
2023-06-13,0.888,-0.09459425478942612,0.007882882882882969
2023-06-14,0.889,-0.11809002131385567,-0.011248593925759276
