date,close,v9_ad_osc,future_return_5d
2025-07-25,4.08,11623867.828872085,-0.01715686274509809
2025-07-28,4.091,11582147.94700247,-0.015155218772916257
2025-07-29,4.112,11523844.486970812,-0.012645914396887226
2025-07-30,4.109,11346179.619420052,-0.009247992212217171
2025-07-31,4.032,10789808.160137057,0.009424603174603252
2025-08-01,4.01,10198827.061264127,0.012468827930174564
2025-08-04,4.029,9749657.645135492,0.012410027302059978
2025-08-05,4.06,9151242.541018248,0.011083743842364768
2025-08-06,4.071,8877953.349119842,0.016949152542372836
2025-08-07,4.07,8748604.289997429,0.015479115479115402
2025-08-08,4.06,8893700.866149604,0.02758620689655178
2025-08-11,4.079,9478513.999251544,0.03064476587398879
2025-08-12,4.105,10169926.269358903,0.018757612667478663
2025-08-13,4.14,11111551.109265089,0.024396135265700503
2025-08-14,4.133,11547184.500412405,0.02951850955722235
2025-08-15,4.172,11907057.826426715,0.04410354745925216
2025-08-18,4.204,12086321.183114111,0.056612749762131376
2025-08-19,4.182,11775772.595538735,0.05643232902917261
2025-08-20,4.241,12467964.970591784,0.026173072388587793
2025-08-21,4.255,12602978.96962142,0.04253819036427742
2025-08-22,4.356,12982109.352742076,0.02800734618916434
2025-08-25,4.442,13717072.484590232,0.011481314723097658
2025-08-26,4.418,14066584.81488812,0.011090991398822858
2025-08-27,4.352,14195122.851394951,0.01700367647058809
2025-08-28,4.436,15120152.412597716,-0.023219116321009814
2025-08-29,4.478,16348297.61339587,-0.010495757034390318
2025-09-01,4.493,17538634.86671257,-0.01357667482750946
2025-09-02,4.467,18547137.36414641,-0.013879561226774029
2025-09-03,4.426,19253972.79679954,-0.002485314053321308
2025-09-04,4.333,19762061.34190631,0.04708054465728129
2025-09-05,4.431,20397158.702168882,0.015120740239223718
2025-09-08,4.432,20911795.94942689,0.01669675090252709
2025-09-09,4.405,21271159.45717609,0.020885357548240613
2025-09-10,4.415,21393681.238619864,0.02604756511891293
2025-09-11,4.537,22209769.694262028,-0.01454705752700014
2025-09-12,4.498,22570337.182228148,-0.003779457536683073
2025-09-15,4.506,22950326.828607738,-0.002219263204616073
2025-09-16,4.497,23836677.640577495,0.00044474093840340956
2025-09-17,4.53,24061219.621100843,0.002207505518763808
2025-09-18,4.471,24319212.801492453,0.022590024602997083
2025-09-19,4.481,23834307.430451155,0.010488730194152973
2025-09-22,4.496,22975824.715334535,0.02424377224199281
2025-09-23,4.499,22600895.380506277,0.026450322293843254
2025-09-24,4.54,23118052.863415718,0.0337004405286343
2025-09-25,4.572,22879504.569939196,0.005249343832020914
2025-09-26,4.528,21966001.919947863,0.009054770318021266
2025-09-29,4.605,20928239.399379075,-0.018023887079261725
2025-09-30,4.618,20157709.97069204,-0.007579038544824668
2025-10-09,4.693,19724952.639099777,-0.020242914979757054
2025-10-10,4.596,19415077.35238844,-0.0206701479547432
2025-10-13,4.569,18801025.928699017,-0.011381046180783505
2025-10-14,4.522,17895109.298062265,0.014374170720919732
2025-10-15,4.583,17304347.73956877,-0.0024001745581496703
2025-10-16,4.598,16806161.98996973,-0.0017398869073510514
2025-10-17,4.501,15509881.725155711,0.032437236169740036
2025-10-20,4.517,14688978.936852753,0.041177772858091544
2025-10-21,4.587,14185668.819588542,0.020056681927185682
2025-10-22,4.572,13618638.825758815,0.03652668416447935
