date,close,volume,v6_turnover,future_return_5d
2024-04-24,1.022,1821362,0.6710416938574585,0.02935420743639927
2024-04-25,1.032,1753719,0.6472540892464661,0.027131782945736482
2024-04-26,1.06,1634566,0.5987065640039,-0.007547169811320753
2024-04-29,1.054,1839459,0.6720794105372306,0.022770398481973375
2024-04-30,1.044,1530273,0.5714448208253806,0.04022988505747138
2024-05-06,1.052,1936487,0.7365755541503535,0.019011406844106515
2024-05-07,1.06,1719927,0.6615109825195419,0.017924528301886733
2024-05-08,1.052,1587962,0.6420290219830459,0.014258555133079831
2024-05-09,1.078,2305313,1.0055197282682549,-0.01576994434137302
2024-05-10,1.086,1963496,0.9035292471885734,-0.009208103130755041
2024-05-13,1.072,1870669,0.8807982677927718,0.041977611940298365
2024-05-14,1.079,1520211,0.7512722660771448,0.002780352177942591
2024-05-15,1.067,2055667,1.0224836609889736,0.004686035613870709
2024-05-16,1.061,1904405,0.9561280030324502,-0.022620169651272448
2024-05-17,1.076,1789380,0.9269555138747272,-0.036245353159851446
2024-05-20,1.117,4238313,2.07514775216722,-0.058191584601611446
2024-05-21,1.082,2982244,1.4281264155288522,-0.02957486136783738
2024-05-22,1.072,2349531,1.1210393259653306,0.004664179104477473
2024-05-23,1.037,2577443,1.2060555575520449,0.0077145612343298975
2024-05-24,1.037,2074175,1.0006970999263243,0.002892960462873795
2024-05-27,1.052,2335412,1.11293162334592,-0.03136882129277585
2024-05-28,1.05,2334685,1.0973941058648282,-0.018095238095238164
2024-05-29,1.077,3977952,1.7721923888185338,-0.06499535747446616
2024-05-30,1.045,2127309,0.941686051352637,-0.026794258373205815
2024-05-31,1.04,1156642,0.5162747979271111,-0.020192307692307843
2024-06-03,1.019,2148340,0.9544131914213433,-0.02257114818449446
2024-06-04,1.031,1530752,0.6829156281206153,-0.02521823472356932
2024-06-05,1.007,2091507,0.9227213832365623,-0.01886792452830177
2024-06-06,1.017,2047301,0.9083888132946206,-0.025565388397246758
2024-06-07,1.019,1826495,0.8128877123953121,-0.04023552502453376
2024-06-11,0.996,1950651,0.8666013674626262,-0.011044176706827336
2024-06-12,1.005,1065280,0.478095473863758,-0.015920398009950154
2024-06-13,0.988,1846573,0.8326449760666306,-0.006072874493927127
2024-06-14,0.991,1036370,0.4766414660414744,-0.014127144298688221
2024-06-17,0.978,1370064,0.6362471308974829,-0.023517382413087984
2024-06-18,0.985,2761371,1.3278983215643858,-0.029441624365482255
2024-06-19,0.989,1790019,0.8861946985722415,-0.023255813953488413
2024-06-20,0.982,2126734,1.0587330577478697,-0.03971486761710796
2024-06-21,0.977,1556487,0.7950565814033512,-0.015353121801433
2024-06-24,0.955,1220757,0.637459350939817,0.03141361256544495
2024-06-25,0.956,1339785,0.718285668056844,0.01778242677824271
2024-06-26,0.966,1860058,1.0100653950792398,0.007246376811594235
2024-06-27,0.943,1177421,0.6919917169351814,0.024390243902439046
2024-06-28,0.962,1493100,0.8941867887390436,0.031185031185031242
2024-07-01,0.985,1602251,0.9469200311240851,-0.004060913705583813
2024-07-02,0.973,1064898,0.650163072243333,0.029804727646454365
2024-07-03,0.973,1084165,0.6710750952136323,0.014388489208633004
2024-07-04,0.966,1479078,0.9332058587094841,0.06107660455486541
2024-07-05,0.992,1987527,1.2563745524364738,0.014112903225806495
2024-07-08,0.981,1427813,0.9140810672026563,0.03261977573904162
2024-07-09,1.002,1954310,1.2509961493161852,0.019960079840319445
2024-07-10,0.987,1833539,1.145520849472953,0.008105369807497542
2024-07-11,1.025,2744563,1.6679046778957718,-0.030243902439024306
2024-07-12,1.006,2432497,1.4180994662896644,-0.02882703777335982
2024-07-15,1.013,1655659,0.9572487675774582,-0.047384007897334546
2024-07-16,1.022,1367568,0.823880093121835,-0.10078277886497067
2024-07-17,0.995,2002973,1.1989835858251414,-0.08442211055276383
2024-07-18,0.994,2014743,1.2100852176833599,-0.10663983903420526
2024-07-19,0.977,1711976,1.02345976636274,-0.06857727737973385
2024-07-22,0.965,1226168,0.7329137050788742,-0.059067357512953333
2024-07-23,0.919,2005425,1.1753154481785182,-0.020674646354733373
2024-07-24,0.911,1453422,0.8620764922048918,0.027442371020856227
2024-07-25,0.888,1580831,0.9265620760679183,0.05067567567567566
2024-07-26,0.91,1927606,1.1156091851922845,0.007692307692307665
2024-07-29,0.908,1050985,0.6181220079688885,-0.01541850220264318
2024-07-30,0.9,1211388,0.7094047956332932,-0.00666666666666671
2024-07-31,0.936,1696846,0.9761829720462154,-0.04166666666666674
2024-08-01,0.933,1353683,0.7815829560234694,-0.048231511254019366
2024-08-02,0.917,908604,0.5414706692213688,-0.026172300981461283
2024-08-05,0.894,1203965,0.7223049420742891,-0.0011185682326622093
2024-08-06,0.894,956806,0.5917305372014382,0.003355704697986628
2024-08-07,0.897,1350423,0.8478261217597328,-0.01449275362318847
2024-08-08,0.888,1057392,0.7009800801883791,0.005630630630630629
2024-08-09,0.893,1329301,0.9146850569625489,0.0011198208286673506
2024-08-12,0.893,826596,0.5854763274222439,0.01791713325867872
2024-08-13,0.897,988252,0.7095080891476354,0.0011148272017837968
2024-08-14,0.884,1123076,0.8326023534882122,0.02714932126696845
2024-08-15,0.893,1117433,0.8569212986199711,0.002239641657334923
2024-08-16,0.894,1185928,0.9281693409245394,-0.0022371364653244186
2024-08-19,0.909,1574633,1.2158110027199978,-0.005500550055005493
2024-08-20,0.898,1913419,1.482662019065121,-0.007795100222717122
2024-08-21,0.908,1996449,1.5151233895189182,-0.02753303964757714
2024-08-22,0.895,864022,0.6740480591050203,-0.005586592178770999
2024-08-23,0.892,769627,0.6288103335666234,0.004484304932735439
2024-08-26,0.904,869977,0.7160946949150171,-0.03207964601769919
2024-08-27,0.891,863297,0.72092423258735,-0.014590347923681302
2024-08-28,0.883,1193066,1.0177161095078728,-0.029445073612684003
2024-08-29,0.89,940321,0.8165135770462952,-0.03707865168539326
2024-08-30,0.896,1685121,1.4155265985649859,-0.049107142857142905
2024-09-02,0.875,1425950,1.1867543747185156,-0.04342857142857148
2024-09-03,0.878,971688,0.8081919420097445,-0.05125284738041003
2024-09-04,0.857,1219792,1.0200917068291733,-0.017502917152858788
2024-09-05,0.857,1691840,1.3782929612263863,-0.018669778296382722
2024-09-06,0.852,870535,0.7227049147188525,-0.016431924882629123
2024-09-09,0.837,1528003,1.232636786012375,0.009557945041815952
2024-09-10,0.833,1018789,0.8208438910966562,0.04681872749099636
2024-09-11,0.842,906923,0.7371316228558327,0.04869358669833734
2024-09-12,0.841,1317915,1.0625221331064107,0.04875148632580273
2024-09-13,0.838,892982,0.7285382124567126,0.09546539379474939
2024-09-18,0.845,1017906,0.849755455695895,0.09704142011834338
2024-09-19,0.872,1897553,1.5851410397800394,0.10550458715596323
2024-09-20,0.883,1294999,1.1144422969301695,0.14156285390713474
2024-09-23,0.882,1315073,1.1101711058594068,0.25056689342403615
2024-09-24,0.918,1520494,1.2441535598397266,0.22875816993464038
